"company","serial_number","name","asset","manufacturer","u_manufacturer_part_number","u_parent_asset","location"
"Island Health","1767534-0007","166425","","ERGOTRON","SV43-2570-0","","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-Basement 1"
"Island Health","1767534-0006","166426","","ERGOTRON","SV43-2570-0","","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-Basement 1"
"Island Health","1767534-0003","166427","","ERGOTRON","SV43-2570-0","","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-Basement 1"
"Island Health","1767534-0004","166428","","ERGOTRON","SV43-2570-0","","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-Basement 1"
"Island Health","1767534-0002","166429","","ERGOTRON","SV43-2570-0","","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-Basement 1"
"Island Health","1767534-0001","166430","","ERGOTRON","SV43-2570-0","","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-Basement 1"
"Island Health","1767534-0005","166431","","ERGOTRON","SV43-2570-0","","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-Basement 1"
"Island Health","2033425-0001","2033425-0001-CRT","2033425-0001-CRT","ERGOTRON","SV43-2570-0","AO005695","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","2033425-0002","2033425-0002-CRT","2033425-0002-CRT","ERGOTRON","SV43-2570-0","AO005697","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","2033425-0003","2033425-0003-CRT","2033425-0003-CRT","ERGOTRON","SV43-2570-0","AO005706","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","2033425-0004","2033425-0004-CRT","2033425-0004-CRT","ERGOTRON","SV43-2570-0","AO005702","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","2033425-0005","2033425-0005-CRT","2033425-0005-CRT","ERGOTRON","SV43-2570-0","AO005691","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","2033425-0006","2033425-0006-CRT","2033425-0006-CRT","ERGOTRON","SV43-2570-0","AO005698","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","2033425-0007","2033425-0007-CRT","2033425-0007-CRT","ERGOTRON","SV43-2570-0","AO005694","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","2033425-0008","2033425-0008-CRT","2033425-0008-CRT","ERGOTRON","SV43-2570-0","AO005701","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","2033425-0009","2033425-0009-CRT","2033425-0009-CRT","ERGOTRON","SV43-2570-0","AO005696","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","2033425-0010","2033425-0010-CRT","2033425-0010-CRT","ERGOTRON","SV43-2570-0","AO005703","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","2033425-0011","2033425-0011-CRT","2033425-0011-CRT","ERGOTRON","SV43-2570-0","AO005692","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","2033425-0012","2033425-0012-CRT","2033425-0012-CRT","ERGOTRON","SV43-2570-0","AO005700","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-1st Floor"
"Island Health","107374-01","30601","","","","",""
"Island Health","1297848-0019","A0400132-CRT","A0400132-CRT","ERGOTRON","C50-3510-0","AO400469","VIHA-TGH-Tofino General Hospital-Main Building-1st Floor"
