"u_parent_asset.parent","u_parent_asset","u_category","name","asset_tag","serial_number","location","u_room","u_model_name","manufacturer"
"","","Microphone","C017949","","A2401953361N9","VIHA-RJH-Royal Jubilee Hospital","","",""
"","","Microphone","C017952","","A3241880393N9","VIHA-RJH-Royal Jubilee Hospital","","",""
"","","Microphone","C017950","","A2021722277N9","VIHA-RJH-Royal Jubilee Hospital","","",""
"","","Microphone","166249","","","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","345","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C017691","","B1702054593N9","VIHA-CDH-Cowichan District Hospital-Main Building","","",""
"","","Microphone","C017948","","A34518D84046N9","VIHA-RJH-Royal Jubilee Hospital","","",""
"","","Microphone","C017953","","A3241880388N9","VIHA-RJH-Royal Jubilee Hospital","","",""
"","","Microphone","C017600","","B0722018308N9","","VIHA-NRGH","",""
"","","Microphone","C017951","","B23020D74364N9","VIHA-RJH-Royal Jubilee Hospital","","",""
"","","Microphone","166250","","","VIHA-VGH-Victoria General Hospital-Main Building-3rd Floor","345","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","C017954","","A3241880384N9","VIHA-RJH-Royal Jubilee Hospital-Royal Block-3rd Floor","RB330A - Consultation Room","",""
"","","Microphone","166248","","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","DT1415","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","c017692","","b3182003315n9","VIHA-CDH-Cowichan District Hospital-Main Building","","",""
"","","Microphone","C017603","","B0722018321N9","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building","HAU","",""
"","","Microphone","103765","103765","BX0622303795N9","VIHA-CRG-Campbell River General Hospital","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","103766","103766","BX0622303799N9","VIHA-CRG-Campbell River General Hospital","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166198","166198","2324113643","VIHA-QAC-Queen Alexandra Centre for Children-Jack Ledger Building-1st Floor","A012","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166199","166199","2324113646","VIHA-QAC-Queen Alexandra Centre for Children-Jack Ledger Building-1st Floor","A012","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166205","166205","","VIHA-RJH-Royal Jubilee Hospital-Royal Block-2nd Floor","RB238","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166208","166208","2347135670","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor","740","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166209","166209","2347135661","VIHA-VGH-Victoria General Hospital-Main Building-7th Floor","740","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166226","166226","2413148646","VIHA-RJH-Royal Jubilee Hospital-Richmond Pavilion-2nd Floor","RP202","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166228","166228","","VIHA-VGH-Victoria General Hospital","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166229","166229","","VIHA-VGH-Victoria General Hospital","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166268","166268","2413148642","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment","DT3343","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166269","166269","2413148643","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment","DT3343","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166270","166270","2447177277","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment","DT119","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166298","166298","0POWM4N9","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","3107","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166300","166300","2505192446","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","N503","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166301","166301","2505192445","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor","HW220","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166302","166302","2505192444","VIHA-SISC-South Island Surgical Centre-Eagle Creek Village Building 7-5th Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166303","166303","2505192442","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-1st Floor","HW138","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166304","166304","","VIHA-VGH-Victoria General Hospital","2708","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166306","166306","2504189584","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5North","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166307","166307","2504189583","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5North","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166308","166308","2504189616","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5North","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166385","166385","2504189587","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5North","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166386","166386","2504189618","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166401","166401","2504189611","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","N503","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","166402","166402","2505192449","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","N503","POWERMIC","NUANCE COMMUNICATIONS"
"AO005567","AO005567-CRT","Microphone","AO005567-Mic","1991510-0091-Mic","1991510-0091-Mic","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"AO005648","AO005648-CRT","Microphone","AO005648-Mic","2010504-0069-Mic","2010504-0069-Mic","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"AO005561","AO005561-CRT","Microphone","AO005561-Mic","2010504-0071-Mic","2010504-0071-Mic","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"AO005568","AO005568-CRT","Microphone","AO005568-Mic","2011734-0090-Mic","2011734-0090-Mic","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"AO005647","AO005647-CRT","Microphone","AO005647-Mic","2014441-0006-Mic","2014441-0006-Mic","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"AO005569","AO005569-CRT","Microphone","AO005569-Mic","2014441-0010-Mic","2014441-0010-Mic","VIHA-RJH-Royal Jubilee Hospital-West Block-1st Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"AO005547","AO005547-CRT","Microphone","AO005547-Mic","2014441-0048-Mic","2014441-0048-Mic","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"AO005646","AO005646-CRT","Microphone","AO005646-Mic","2014441-0053-Mic","2014441-0053-Mic","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","","POWERMIC","NUANCE COMMUNICATIONS"
"","","Microphone","66128","66128","A0811200433N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66129","66129","A0811200434N","VIHA-RJH-Royal Jubilee Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66130","66130","A1671200678N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66131","66131","A1671200676N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66133","66133","A2121200522N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66134","66134","A2121200521N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66136","66136","A2121200513N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66137","66137","A2121200515N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66139","66139","A1991200508N","VIHA-RJH-Royal Jubilee Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66141","66141","A1991200498N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66142","66142","A1991200502N","VIHA-RJH-Royal Jubilee Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66143","66143","A1671200672N","VIHA-RJH-Royal Jubilee Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66144","66144","A1671200675N","","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66146","66146","A1671200685N","VIHA-RJH-Royal Jubilee Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66149","66149","A1991200499N","VIHA-RJH-Royal Jubilee Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66150","66150","A2121200526N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66151","66151","A2121200525N","VIHA-NRGH-Nanaimo Regional General Hospital","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66152","66152","A1671200680N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66153","66153","A2121200528N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66154","66154","A1991200504N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66158","66158","A1671200681N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66163","66163","A1671200683N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66166","66166","A2711200974N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66167","66167","A2711200973N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66168","66168","A2711200970N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66169","66169","A2711200969N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66170","66170","A2711200972N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66180","66180","A0991301799N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66181","66181","A0991301803N","VIHA-NRGH-Nanaimo Regional General Hospital","B022","0POWM2N-005","NUANCE COMMUNICATIONS"
"","","Microphone","66182","66182","A0991301801N","VIHA-OHC-Oceanside Health Centre","","0POWM2N-005","NUANCE COMMUNICATIONS"
