"u_parent_asset","u_parent_asset.parent","u_category","name","asset_tag","serial_number","location","u_room","u_model_name","manufacturer"
"","","Barcode Scanner","C009510","","19304010559197","VIHA-SPH-Saanich Peninsula Hospital-Main Building","","",""
"","","Barcode Scanner","C009518","","19303010559190","VIHA-SPH-Saanich Peninsula Hospital-Main Building","","",""
"","","Barcode Scanner","C009519","","19304010559361","VIHA-SPH-Saanich Peninsula Hospital-Main Building","","",""
"","","Barcode Scanner","c018460","","m1u59e33p","","","",""
"","","Barcode Scanner","C009516","","19304010559159","VIHA-SPH-Saanich Peninsula Hospital-Main Building","","",""
"","","Barcode Scanner","166239","","24306010560250","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-Basement 1","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","C018472","","m1u59f83w","","","",""
"","","Barcode Scanner","C009511","","19303010559189","VIHA-SPH-Saanich Peninsula Hospital-Main Building","","",""
"AO005056-CRT","AO005056","Barcode Scanner","AO005056-SCN","","24306010553238","VIHA-CDH-Cowichan District Hospital-Main Building-3rd Floor","3S (Hallway East)","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","C009525","","19303010559215","VIHA-SPH-Saanich Peninsula Hospital-Main Building","","",""
"","","Barcode Scanner","166241","","24306010560176","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-Basement 1","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","C010509","","","","","",""
"","","Barcode Scanner","C018515","","m1u59c71e","","","",""
"","","Barcode Scanner","C018454","","m1u58r76e","","","",""
"","","Barcode Scanner","166243","","24306010560113","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-Basement 1","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","C009517","","19304010559408","VIHA-SPH-Saanich Peninsula Hospital-Main Building","","",""
"","","Barcode Scanner","C009513","","19304010559324","VIHA-SPH-Saanich Peninsula Hospital-Main Building","","",""
"","","Barcode Scanner","166242","","24306010560186","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-Basement 1","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","C009523","","19303010559228","VIHA-SPH-Saanich Peninsula Hospital-Main Building","","",""
"","","Barcode Scanner","C009509","","19304010559307","VIHA-SPH-Saanich Peninsula Hospital-Main Building","","",""
"","","Barcode Scanner","C008489","","20200010552735","VIHA-NRGH-Nanaimo Regional General Hospital-Main Building-2nd Floor","","",""
"","","Barcode Scanner","C018471","","m1u59f78a","","","",""
"","","Barcode Scanner","C018469","","m1u59c73y","","","",""
"","","Barcode Scanner","C009515","","19304010561257","VIHA-SPH-Saanich Peninsula Hospital-Main Building","","",""
"","","Barcode Scanner","C018455","","m1u59e30f","","","",""
"","","Barcode Scanner","C018513","","m1u59e33u","","","",""
"","","Barcode Scanner","C018468","","m1u59e40f","","","",""
"","","Barcode Scanner","C018470","","m1u59e35w","","","",""
"","","Barcode Scanner","166236","","24306010560218","VIHA-RJH-Royal Jubilee Hospital-Administrative Building-Basement 1","","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","C018456","","m1u59e41g","","","",""
"","","Barcode Scanner","166207","166207","24306010560331","VIHA-VGH-Victoria General Hospital-Main Building-2nd Floor","2564","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166260","166215","24271010553674","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-3rd Floor","KW312","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166215","166215","TXK0819629","VIHA-RJH-Royal Jubilee Hospital-West Block-3rd Floor","WB318","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166216","166216","TXK0820207","VIHA-RJH-Royal Jubilee Hospital-West Block-3rd Floor","WB318","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166261","166216","22091010550491","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-3rd Floor","KW312","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166262","166217","22089010557267","VIHA-NRGH-Nanaimo Regional General Hospital-Ambulatory-Ground Floor","310.3","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166217","166217","TXK0820127","VIHA-RJH-Royal Jubilee Hospital-West Block-3rd Floor","WB318","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166263","166218","22090010561201","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-3rd Floor","KW312","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166218","166218","TXK0820199","VIHA-RJH-Royal Jubilee Hospital-West Block-3rd Floor","WB318","BARCODE SCANNER","ZEBRA"
"","","Barcode Scanner","166264","166219","24244010551728","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-5th Floor","DT5830","BARCODE SCANNER","ZEBRA"
