"name","u_keywords","location","u_floor","u_room","model_id","u_department_location","asset_tag","u_building","u_last_rounded_date","serial_number","assignment_group","cost_center","comments","short_description","u_hot_spare","os","install_status","department","u_device_rounding","sys_updated_on","po_number","u_category","u_scheduled_retirement","u_last_scanned_date","u_special_handle","os_version"
"AO000001","","VIHA-GRH-Gorge Road Hospital-Main Building-4th Floor","","434","Tangent MEDIX 22B V12","","HSS-8091468","","","C24805M056","NTT-Deskside Services-RoyalJubilee-Local","10.71.455200000","","","false","Windows 11 Enterprise","Operational","VGH Occupational Therapy","Mobile Cart","08/10/2025 21:30:15","VIHATRP20241125-063","All-in-One","01/31/2029","08/09/2025","","10.0.22631"
"AO000002","","VIHA-GRH-Gorge Road Hospital-Main Building-4th Floor","","413A","Tangent MEDIX 22B V12","","HSS-8091466","","","C24529M087","NTT-Deskside Services-RoyalJubilee-Local","10.71.455200000","","","false","Windows 11 Enterprise","Operational","VGH Occupational Therapy","Mobile Cart","08/10/2025 21:13:06","VIHATRP20241125-061","Desktop","10/31/2028","08/09/2025","","10.0.22631"
"AO000003","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","N585","Tangent MEDIX 22B V5","General Medicine-General Surgery","HSS-8073896","PCC","06/25/2025","C23202M119","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.210103400","","","false","Windows 11 Enterprise","Operational","RJH 5N","Mobile Cart","08/10/2025 21:16:49","VIHATRP20230424-073","All-in-One","07/31/2026","08/09/2025","","10.0.22631"
"AO000004","","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-1st Floor","1","HW106","Tangent MEDIX 22B V5","Primary Care Memory Clinic","HSS-8076155","Memorial Pavilion","07/07/2025","C23106M160","NTT-Deskside Services-RoyalJubilee-Staffed","33.71.510953700","","","false","Windows 11 Enterprise","Operational","DTC DT Victoria UPCC","Mobile Cart","08/10/2025 21:28:19","VIHATRP20230710-056","All-in-One","08/31/2027","08/09/2025","","10.0.22631"
"AO000005","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","5","RJH Heart Cath Lab","Tangent MEDIX 22B V5","General Medicine-General Surgery","HSS-8074620","Pcc","07/09/2025","C23106M135","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","Mobile Cart","08/09/2025 22:01:45","VIHATRP20230522-077","All-in-One","07/31/2026","08/08/2025","","10.0.22631"
"AO000006","","VIHA-RJH-Royal Jubilee Hospital-Richmond Pavilion-2nd Floor","2","RP201","Tangent MEDIX 22B V5","MsClinic","HSS-8076190","Richmond Pavilion","03/17/2025","C23106M158","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.350458000","","","false","Windows 11 Enterprise","Operational","RJH MS Clinic","Mobile Cart","08/09/2025 22:08:06","VIHATRP20230710-093","All-in-One","08/31/2027","08/09/2025","","10.0.22631"
"AO000007","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-1st Floor","1st Floor","ER","TANGENT MEDIX 22B V9","Emergency","HSS-8093983","D&T","","C24102M056","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.310200000","","","false","Windows 11 Enterprise","Operational","RJH Emergency","Mobile Cart","08/10/2025 21:31:37","ISLHTRP20250623-001","All-in-One","05/31/2028","08/09/2025","","10.0.22631"
"AO000008","","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor","2","APTA Lab testing office","DT Research DT592BU","","C003779","Memorial Pav","06/02/2023","2BUN348B1612043","NTT-Deskside Services-RoyalJubilee-Staffed","","","","false","Microsoft Windows 10 Enterprise","Operational","","Mobile Cart","05/30/2024 16:58:51","","All-in-One","","11/04/2023","",""
"AO000009","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","S545","","General Medicine-General Surgery","C003795","PCC","07/17/2025","2BUN348B1612052-DUP","NTT-Deskside Services-RoyalJubilee-Staffed","","","Tangent T22B AIO","false","","Operational","","Mobile Cart","07/17/2025 13:00:32","","All-in-One","","","",""
"AO000009","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Med Room (5SW)","Tangent MEDIX 22B V5","General Medicine-General Surgery","HSS-8074621","PCC","06/19/2025","C23106M130","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","General Rounding","08/09/2025 21:41:13","VIHATRP20230522-078","All-in-One","07/31/2026","08/08/2025","","10.0.22631"
"AO00001","","VIHA-RJH-Royal Jubilee Hospital-Memorial Pavilion-2nd Floor","2","Ravi and Deans office","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB","","HSS-8078326","Memorial Pav","","C23719M010","NTT-Deskside Services-RoyalJubilee-Staffed","91.71.125403500","","","false","Windows 11 Enterprise","Operational","COS Device Management","Mobile Cart","08/09/2025 21:41:47","VIHATRP20230911-076","All-in-One","10/31/2027","08/08/2025","","10.0.22631"
"AO000010","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Med Room (5SW)","Tangent MEDIX 22B V5","PCC 5SW","HSS-8074626","PCC","07/03/2025","C23106M147","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","General Rounding","08/09/2025 21:42:04","VIHATRP20230522-083","All-in-One","07/31/2026","08/08/2025","","10.0.22631"
"AO000011","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Med Room (5SE)","Tangent MEDIX 22B V5","General Medicine-General Surgery","HSS-8074622","PCC","06/19/2025","C23106M129","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","General Rounding","08/10/2025 21:33:14","VIHATRP20230522-079","All-in-One","07/31/2026","08/09/2025","","10.0.22631"
"AO000013","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-5th Floor","5","Med Room (5SE)","Tangent MEDIX 22B V5","General Medicine-General Surgery","HSS-8074628","PCC","06/19/2025","C23106M145","NTT-Deskside Services-RoyalJubilee-Staffed","90.71.110005400","","","false","Windows 11 Enterprise","Operational","RJH Medicine & Emergency Admin","General Rounding","08/09/2025 21:48:33","VIHATRP20230522-085","All-in-One","07/31/2026","08/08/2025","","10.0.22631"
"AO000014","","VIHA-GRH-Gorge Road Hospital-Main Building-3rd Floor","","Hallway","DT Research DT592BU","Bridgeview","","Main","09/25/2024","2BUN348B1612078","NTT-Deskside Services-RoyalJubilee-Local","","Asset tag c003774","","false","Windows 10 Enterprise","Operational","","General Rounding","08/10/2025 21:09:07","","All-in-One","","08/09/2025","","10.0.19045"
"AO000015","","VIHA-RJH-Royal Jubilee Hospital-Diagnostic & Treatment-3rd Floor","3","DT3241","","Surgical Day Care (SDC)","C003910","D&T","06/13/2025","C163172299-DUP","NTT-Deskside Services-RoyalJubilee-Staffed","","","Tangent T22B AIO","false","","Operational","","Mobile Cart","06/13/2025 08:15:04","","All-in-One","","","",""
"AO000015","","VIHA-RJH-Royal Jubilee Hospital","","","DT Research DT592BU"," ","","","","2BUN348B1612080","NTT-Deskside Services-RoyalJubilee-Staffed","","","","false","Windows 10 Enterprise","Operational","","Excluded","08/09/2025 22:12:06","","All-in-One","","08/09/2025","","10.0.19045"
"AO000017","","VIHA-RJH-Royal Jubilee Hospital-Patient Care Center-3rd Floor","3","S345","TANGENT Medix 22b with fanless i7-10700T CPU, 16GB","PCC 3SW","HSS-8078343","PCC","07/19/2025","C23719M039","NTT-Deskside Services-RoyalJubilee-Staffed","08.71.220402100","","","false","Windows 11 Enterprise","Operational","RJH Cardiac Surgery 3NW","Mobile Cart","08/10/2025 21:17:12","VIHATRP20230911-093","All-in-One","10/31/2027","08/09/2025","","10.0.22631"
